4,273
customerNumber int	checkNumber string	paymentDate string	amount string
103	HQ336336	19-10-2004 0:00:00	6066.78
103	JM555205	5-6-2003 0:00:00	14571.44
103	OM314933	18-12-2004 0:00:00	1676.14
112	BO864823	17-12-2004 0:00:00	14191.12
112	HQ55022	6-6-2003 0:00:00	32641.98
112	ND748579	20-8-2004 0:00:00	33347.88
114	GG31455	20-5-2003 0:00:00	45864.03
114	MA765515	15-12-2004 0:00:00	82261.22
114	NP603840	31-5-2003 0:00:00	7565.08
114	NR27552	10-3-2004 0:00:00	44894.74
119	DB933704	14-11-2004 0:00:00	19501.82
119	LN373447	8-8-2004 0:00:00	47924.19
119	NG94694	22-2-2005 0:00:00	49523.67
121	DB889831	16-2-2003 0:00:00	50218.95
121	FD317790	28-10-2003 0:00:00	1491.38
121	KI831359	4-11-2004 0:00:00	17876.32
121	MA302151	28-11-2004 0:00:00	34638.14
124	AE215433	5-3-2005 0:00:00	101244.59
124	BG255406	28-8-2004 0:00:00	85410.87
124	CQ287967	11-4-2003 0:00:00	11044.30
124	ET64396	16-4-2005 0:00:00	83598.04
124	HI366474	27-12-2004 0:00:00	47142.70
124	HR86578	2-11-2004 0:00:00	55639.66
124	KI131716	15-8-2003 0:00:00	111654.40
124	LF217299	26-3-2004 0:00:00	43369.30
124	NT141748	25-11-2003 0:00:00	45084.38
128	DI925118	28-1-2003 0:00:00	10549.01
128	FA465482	18-10-2003 0:00:00	24101.81
128	FH668230	24-3-2004 0:00:00	33820.62
128	IP383901	18-11-2004 0:00:00	7466.32
129	DM826140	8-12-2004 0:00:00	26248.78
129	ID449593	11-12-2003 0:00:00	23923.93
129	PI42991	9-4-2003 0:00:00	16537.85
131	CL442705	12-3-2003 0:00:00	22292.62
131	MA724562	2-12-2004 0:00:00	50025.35
131	NB445135	11-9-2004 0:00:00	35321.97
141	AU364101	19-7-2003 0:00:00	36251.03
141	DB583216	1-11-2004 0:00:00	36140.38
141	DL460618	19-5-2005 0:00:00	46895.48
141	HJ32686	30-1-2004 0:00:00	59830.55
141	ID10962	31-12-2004 0:00:00	116208.40
141	IN446258	25-3-2005 0:00:00	65071.26
141	JE105477	18-3-2005 0:00:00	120166.58
141	JN355280	26-10-2003 0:00:00	49539.37
141	JN722010	25-2-2003 0:00:00	40206.20
141	KT52578	9-12-2003 0:00:00	63843.55
141	MC46946	9-7-2004 0:00:00	35420.74
141	MF629602	16-8-2004 0:00:00	20009.53
141	NU627706	17-5-2004 0:00:00	26155.91
144	IR846303	12-12-2004 0:00:00	36005.71
144	LA685678	9-4-2003 0:00:00	7674.94
145	CN328545	3-7-2004 0:00:00	4710.73
145	ED39322	26-4-2004 0:00:00	28211.70
145	HR182688	1-12-2004 0:00:00	20564.86
145	JJ246391	20-2-2003 0:00:00	53959.21
146	FP549817	18-3-2004 0:00:00	40978.53
146	FU793410	16-1-2004 0:00:00	49614.72
146	LJ160635	10-12-2003 0:00:00	39712.10
148	BI507030	22-4-2003 0:00:00	44380.15
148	DD635282	11-8-2004 0:00:00	2611.84
148	KM172879	26-12-2003 0:00:00	105743.00
148	ME497970	27-3-2005 0:00:00	3516.04
151	BF686658	22-12-2003 0:00:00	58793.53
151	GB852215	26-7-2004 0:00:00	20314.44
151	IP568906	18-6-2003 0:00:00	58841.35
151	KI884577	14-12-2004 0:00:00	39964.63
157	HI618861	19-11-2004 0:00:00	35152.12
157	NN711988	7-9-2004 0:00:00	63357.13
161	BR352384	14-11-2004 0:00:00	2434.25
161	BR478494	18-11-2003 0:00:00	50743.65
161	KG644125	2-2-2005 0:00:00	12692.19
161	NI908214	5-8-2003 0:00:00	38675.13
166	BQ327613	16-9-2004 0:00:00	38785.48
166	DC979307	7-7-2004 0:00:00	44160.92
166	LA318629	28-2-2004 0:00:00	22474.17
167	ED743615	19-9-2004 0:00:00	12538.01
167	GN228846	3-12-2003 0:00:00	85024.46
171	GB878038	15-3-2004 0:00:00	18997.89
171	IL104425	22-11-2003 0:00:00	42783.81
172	AD832091	9-9-2004 0:00:00	1960.80
172	CE51751	4-12-2004 0:00:00	51209.58
172	EH208589	20-4-2003 0:00:00	33383.14
173	GP545698	13-5-2004 0:00:00	11843.45
173	IG462397	29-3-2004 0:00:00	20355.24
175	CITI3434344	19-5-2005 0:00:00	28500.78
175	IO448913	19-11-2003 0:00:00	24879.08
175	PI15215	10-7-2004 0:00:00	42044.77
177	AU750837	17-4-2004 0:00:00	15183.63
177	CI381435	19-1-2004 0:00:00	47177.59
181	CM564612	25-4-2004 0:00:00	22602.36
181	GQ132144	30-1-2003 0:00:00	5494.78
181	OH367219	16-11-2004 0:00:00	44400.50
186	AE192287	10-3-2005 0:00:00	23602.90
186	AK412714	27-10-2003 0:00:00	37602.48
186	KA602407	21-10-2004 0:00:00	34341.08
187	AM968797	3-11-2004 0:00:00	52825.29
187	BQ39062	8-12-2004 0:00:00	47159.11
187	KL124726	27-3-2003 0:00:00	48425.69
189	BO711618	3-10-2004 0:00:00	17359.53
189	NM916675	1-3-2004 0:00:00	32538.74
198	FI192930	6-12-2004 0:00:00	9658.74
198	HQ920205	6-7-2003 0:00:00	6036.96
198	IS946883	21-9-2004 0:00:00	5858.56
201	DP677013	20-10-2003 0:00:00	23908.24
201	OO846801	15-6-2004 0:00:00	37258.94
202	HI358554	18-12-2003 0:00:00	36527.61
202	IQ627690	8-11-2004 0:00:00	33594.58
204	GC697638	13-8-2004 0:00:00	51152.86
204	IS150005	24-9-2004 0:00:00	4424.40
205	GL756480	4-12-2003 0:00:00	3879.96
205	LL562733	5-9-2003 0:00:00	50342.74
205	NM739638	6-2-2005 0:00:00	39580.60
209	BOAF82044	3-5-2005 0:00:00	35157.75
209	ED520529	21-6-2004 0:00:00	4632.31
209	PH785937	4-5-2004 0:00:00	36069.26
211	BJ535230	9-12-2003 0:00:00	45480.79
216	BG407567	9-5-2003 0:00:00	3101.40
216	ML780814	6-12-2004 0:00:00	24945.21
216	MM342086	14-12-2003 0:00:00	40473.86
219	BN17870	2-3-2005 0:00:00	3452.75
219	BR941480	18-10-2003 0:00:00	4465.85
227	MQ413968	31-10-2003 0:00:00	36164.46
227	NU21326	2-11-2004 0:00:00	53745.34
233	BOFA23232	20-5-2005 0:00:00	29070.38
233	II180006	1-7-2004 0:00:00	22997.45
233	JG981190	18-11-2003 0:00:00	16909.84
239	NQ865547	15-3-2004 0:00:00	80375.24
240	IF245157	16-11-2004 0:00:00	46788.14
240	JO719695	28-3-2004 0:00:00	24995.61
242	AF40894	22-11-2003 0:00:00	33818.34
242	HR224331	3-6-2005 0:00:00	12432.32
242	KI744716	21-7-2003 0:00:00	14232.70
249	IJ399820	19-9-2004 0:00:00	33924.24
249	NE404084	4-9-2004 0:00:00	48298.99
250	EQ12267	17-5-2005 0:00:00	17928.09
250	HD284647	30-12-2004 0:00:00	26311.63
250	HN114306	18-7-2003 0:00:00	23419.47
256	EP227123	10-2-2004 0:00:00	5759.42
256	HE84936	22-10-2004 0:00:00	53116.99
259	EU280955	6-11-2004 0:00:00	61234.67
