1164,JAL JEERA,Cell Phones & Accessories,29

1165,"RNG ALOO BHUJIYA 225GM",Books,69

1166,"DOUBLE CHABI GOLD RICE 1OKG",Books,86

1167,"KISMIS 100GM",Industrial & Scientific,20

1168,CORN FLAKE,Electronics,56

1169,"ALIVA ORIGINAL SALTED 60G",Software,18

1170,NIP 100G,Baby,25

1171,"BC BADAM LACHHA 200GM",Software,94

1172,"GOLDEN SELLA RICE 990GM",Home & Kitchen,35

1173,"DOVE SHAM 375ML",Automotive,38

1174,"JAGAT MANPASAND 5KG",Sports & Outdoors,50

1175,"GLUCON-D100+20=120G",Cell Phones & Accessories,81

1176,"PMS 3RD ANNUAL ANNVERSERY",Arts & Crafts,69

1177,"DETTOL ORIG.",Arts & Crafts,35

1178,"DHARA FIT&FINE 1LTR",Grocery,86

1179,"CHAAT MASALA 100G",Baby,90

1180,"HIMALAYA OIL BALANCING FACE WASH 50ML",Sports & Outdoors,12

1181,"NATURE FRESH 15 LTR",Automotive,85

1182,"GAI CHAAP RED CHILLI POWDER 200G",Pet Supplies,75

1183,"PANTEENE 340ML",Books,47

1184,"ACT 2 POP.C",Grocery,21

1185,"HALDIRAM CHANA MASALA 200GM",Arts & Crafts,58

1186,"KAJU 1KG",Pet Supplies,50

1187,"HALDIRAM CHANA PAPAD",Office Products,85

1188,"GILLETTE GUARD NEW",Baby,99

1189,"DETTOL ORIGINAL 120X3",Music,45

1190,"LACTOGEN 3 475G",Beauty,51

1191,"PANTENE PRO-V S&S",Office Products,54

1192,"MC. VITIES. DIDST. 250GM",Software,37

1193,"DABUR GULABARI 120ML",Automotive,49

1194,"SUNSILK PINK 80ML",Apparel & Accessories,29

1195,"GOLDEN PAKKA RICE 990GM",Office Products,24

1196,"HUGGIS",Camera & Photo,50

1197,"ANMOL YAMMY",Automotive,68

1198,"SAGUN DALIA 400GM",Computers,69

1199,"FAIR&LOVELY FACE WASH",Sports & Outdoors,89

1200,"LACTOGEN N=1",Baby,51

1201,"LUX PINK 440GM",Office Products,42

1202,"HARPIC DEETOL 500ML",Beauty,85

1203,"MDH CHANA MASALA 100G",Office Products,66

1204,"FENA 940GM",Cell Phones & Accessories,80

1205,"GARNIER NORMAL 290ML",Automotive,55

1206,"LEHAR ALOO BHUJIA 380GM",Sports & Outdoors,83

1207,"INDIA GATE MOGRA 1KG",Pet Supplies,61

1208,"EAGLE MIRCH POWDER 100GM",Health,49

1209,"HLD TANDAI KESAR",Beauty,43

1210,"BABOOL PASTE 70GM",Apparel & Accessories,36

1211,"DETTOL SOAP",Health,50

1212,"RANI PAL FABRIC WHITENER 75 G",Industrial & Scientific,44

1213,"RIN SOAP SET",Shoes,61
